id,nama,kategori,lokasi,deskripsi
1,Danau Toba,Alam,Sumatera Utara,"Danau vulkanik terbesar di Indonesia dengan budaya Batak yang khas"
2,Borobudur,Budaya,Jawa Tengah,"Candi Buddha terbesar di dunia dan situs warisan UNESCO"
3,Raja Ampat,Alam,Papua Barat,"Kepulauan dengan keanekaragaman laut yang luar biasa"
4,Bromo,Alam,Jawa Timur,"Gunung berapi aktif dengan pemandangan matahari terbit yang indah"
5,Ubud,Budaya,Bali,"Pusat seni dan budaya Bali dengan pemandangan sawah yang hijau"
6,Tanah Lot,Religi,Bali,"Pura ikonik di atas batu karang di tengah laut"
7,Kawah Ijen,Alam,Jawa Timur,"Gunung dengan api biru dan danau asam tertinggi di dunia"
8,Toba Samosir,Budaya,Sumatera Utara,"Wilayah dengan tradisi Batak yang kuat di sekitar Danau Toba"
9,Derawan,Alam,Kalimantan Timur,"Pulau eksotis dengan penyu, ubur-ubur, dan pantai pasir putih"
10,Leang-Leang,Sejarah,Sulawesi Selatan,"Goa purba dengan lukisan tangan manusia ribuan tahun lalu"
11,Lombok,Alam,Nusa Tenggara Barat,"Pantai dan gunung Rinjani dengan panorama spektakuler"
12,Kotagede,Sejarah,Yogyakarta,"Kawasan kuno peninggalan Mataram Islam dengan arsitektur klasik"
13,Bukittinggi,Budaya,Sumatera Barat,"Kota budaya Minangkabau dengan Jam Gadang dan Ngarai Sianok"
14,Pulau Komodo,Alam,Nusa Tenggara Timur,"Habitat asli komodo dengan savana dan laut jernih"
15,Lawang Sewu,Sejarah,Jawa Tengah,"Gedung bersejarah peninggalan Belanda dengan banyak pintu"
16,Taman Mini,Sejarah,DKI Jakarta,"Taman tematik budaya Indonesia dari Sabang sampai Merauke"
17,Puncak,Alam,Jawa Barat,"Daerah pegunungan dengan kebun teh dan udara sejuk"
18,Ancol,Rekreasi,DKI Jakarta,"Taman hiburan dan pantai buatan di ibu kota"
19,Karimunjawa,Alam,Jawa Tengah,"Kepulauan tropis dengan laut biru dan ekosistem laut alami"
20,Candi Prambanan,Budaya,Yogyakarta,"Kompleks candi Hindu terbesar di Indonesia"
